pincode,office,office_type,delivery,taluk,district
600001,Chennai G.P.O.,H.O,Delivery,Chennai,Chennai
600001,Flower Bazaar S.O,S.O,Non-Delivery,NA,Chennai
600001,Govt Stanley Hospital S.O,S.O,Non-Delivery,Tondiarpet Fort St George,Chennai
600001,MPT AO S.O,S.O,Non-Delivery,Tondiarpet Fort St Goerge,Chennai
600001,Mannady S.O (Chennai),S.O,Non-Delivery,Tondiarpet Fort St George,Chennai
600001,Mint Building S.O,S.O,Non-Delivery,Tondiarpet Fort St George,Chennai
600001,Sowcarpet S.O,S.O,Non-Delivery,Tondiarpet Fort St George,Chennai
600002,Anna Road H.O,H.O,Delivery,Chennai,Chennai
600002,Chintadripet S.O,S.O,Non-Delivery,Chennai,Chennai
600002,Madras Electricity System S.O,S.O,Non-Delivery,Chennai,Chennai
600003,Edapalayam S.O,S.O,Non-Delivery,Tondiarpet Fort St George,Chennai
600003,Madras Medical College S.O,S.O,Non-Delivery,Tondiarpet Fort St George,Chennai
600003,Park Town H.O,H.O,Delivery,Tondiarpet Fort St George,Chennai
600003,Ripon Buildings S.O,S.O,Non-Delivery,Tondiarpet Fort St George,Chennai
600004,Mandaveli S.O,S.O,Non-Delivery,Chennai,Chennai
600004,Mylapore H.O,H.O,Delivery,Chennai,Chennai
600004,Vivekananda College Madras S.O,S.O,Non-Delivery,Chennai,Chennai
600005,Chepauk S.O,S.O,Non-Delivery,Chennai,Chennai
600005,Madras University S.O,S.O,Non-Delivery,Chennai,Chennai
600005,Tiruvallikkeni S.O,S.O,Delivery,Chennai,Chennai
600006,Greams Road S.O,S.O,Delivery,Chennai,Chennai
600006,Old College Buildings S.O,S.O,Non-Delivery,Chennai,Chennai
600006,Shastri Bhavan S.O,S.O,Non-Delivery,Chennai,Chennai
600006,Teynampet West S.O,S.O,Non-Delivery,Chennai,Chennai
600007,Vepery S.O,S.O,Delivery,Perambur Purasawalkam,Chennai
600008,Egmore ND S.O,S.O,Non-Delivery,NA,Chennai
600008,Egmore S.O,S.O,Delivery,NA,Chennai
600008,Ethiraj Salai S.O,S.O,Non-Delivery,Egmore Nungambakka,Chennai
600009,Fort St George S.O,S.O,Delivery,Tondiarpet Fort St George,Chennai
600010,Kilpauk Medical College S.O,S.O,Non-Delivery,Perambur Purasawalkam,Chennai
600010,Kilpauk S.O,S.O,Delivery,Perambur Purasawalkam,Chennai
600010,Medavakkam Tank Road S.O,S.O,Non-Delivery,Perambur Purasawalkam,Chennai
600011,Perambur North S.O,S.O,Non-Delivery,Perambur Purasawalkam,Chennai
600011,Perambur S.O,S.O,Delivery,Perambur Purasawalkam,Chennai
600011,Sembiam S.O,S.O,Non-Delivery,Perambur Purasawalkam,Chennai
600012,Perambur Barracks S.O,S.O,Delivery,Perambur Purasawalkam,Chennai
600012,Puliyanthope S.O,S.O,Non-Delivery,Perambur Purasawalkam,Chennai
600012,Venkatesapuram S.O,S.O,Non-Delivery,Perambur Purasawalkam,Chennai
600013,Rayapuram S.O,S.O,Delivery,Egmore Nungambakkam,Chennai
600014,Lloyds Estate S.O,S.O,Non-Delivery,Chennai,Chennai
600014,Royapettah S.O,S.O,Delivery,Chennai,Chennai
600014,Triplicane South S.O,S.O,Non-Delivery,Chennai,Chennai
600015,Guindy North S.O,S.O,Non-Delivery,Chennai City Corporation,Chennai
600015,Saidapet S.O (Chennai),S.O,Delivery,Chennai City Corporation,Chennai
600016,Alandur(Reopened W.E.F.6.6.05) S.O,S.O,Non-Delivery,Saidapet,Kanchipuram
600016,Chennai Airport S.O,S.O,Non-Delivery,Saidapet,Kanchipuram
600016,Meenambakkam S.O,S.O,Non-Delivery,Sriperumbudur,Kanchipuram
600016,St.Thomas Mount H.O,H.O,Delivery,Saidapet,Kanchipuram
600017,Hindi Prachar Sabha S.O,S.O,Non-Delivery,Chennai,Chennai
600017,Thygarayanagar H.O,H.O,Delivery,Chennai,Chennai
600017,Thygarayanagar North ND S.O,S.O,Non-Delivery,Chennai,Chennai
600017,Thygarayanagar South NDS.O,S.O,Non-Delivery,Chennai,Chennai
600018,Pr. Accountant General S.O,S.O,Non-Delivery,Chennai,Chennai
600018,Teynampet S.O,S.O,Delivery,Chennai,Chennai
600019,Kaladipet S.O,S.O,Non-Delivery,Ambattur,Tiruvallur
600019,Shanmugapuram S.O,S.O,Non-Delivery,Ambattur,Tiruvallur
600019,Tiruvottiyur S.O,S.O,Delivery,Ambattur,Tiruvallur
600019,Tiruvottiyur West S.O,S.O,Non-Delivery,NA,Tiruvallur
600019,Tondiarpet Rly Colony B.O,B.O,Non-Delivery,Ambattur,Tiruvallur
600020,Adyar S.O (Chennai),S.O,Delivery,Chennai City Corporation,Chennai
600020,Kasturibai Nagar S.O,S.O,Non-Delivery,Chennai City Corporation,Chennai
600020,Shastri Nagar S.O (Chennai),S.O,Non-Delivery,Chennai City Corporation,Chennai
600021,Washermanpet East S.O,S.O,Non-Delivery,Tondiarpet Fort St George,Chennai
600021,Washermanpet S.O,S.O,Delivery,Tondiarpet Fort St George,Chennai
600022,Rajbhavan S.O (Chennai),S.O,Delivery,Chennai City Corporation,Chennai
600023,Aynavaram S.O,S.O,Delivery,Perambur Purasawalkam,Chennai
