village_code,village,village_tamil,gram_panchayat,block,taluk,district,district_code,taluk_code,block_code,pincode,pincode_confidence,pincode_match_level
636343,Andimadam,,Andimadam,ANDIMADAM,Andimadam,Ariyalur,610,5983,6255,621801,name_match,high
636353,Anikudichan (North),,Anikuthichan,ANDIMADAM,Andimadam,Ariyalur,610,5983,6255,621803,block_inferred,medium
636354,Anikudichan (South),,Anikuthichan,ANDIMADAM,Andimadam,Ariyalur,610,5983,6255,621803,block_inferred,medium
636334,Authukurichi,,Nagambandal,ANDIMADAM,Andimadam,Ariyalur,610,5983,6255,621803,block_inferred,medium
636342,Ayyur,,Ayyur,ANDIMADAM,Andimadam,Ariyalur,610,5983,6255,608901,name_match_multi,good
636430,Ayyur (Kanguli) R.F,,Ayyur,ANDIMADAM,Andimadam,Ariyalur,610,5983,6255,608901,gp_inferred,good
636429,Ayyur RF,,Ayyur,ANDIMADAM,Andimadam,Ariyalur,610,5983,6255,608901,gp_inferred,good
636363,Devanur,,Devanur,ANDIMADAM,Andimadam,Ariyalur,610,5983,6255,604208,name_match_multi,good
636341,Edaayankurichi,,Edayakurichy,ANDIMADAM,Andimadam,Ariyalur,610,5983,6255,621803,block_inferred,medium
636380,Elaiyur (East),,Pudukudi,ANDIMADAM,Andimadam,Ariyalur,610,5983,6255,621803,block_inferred,medium
636379,Elaiyur (West),,Elaiyur,ANDIMADAM,Andimadam,Ariyalur,610,5983,6255,621803,block_inferred,medium
636357,Kattathur (North),,Kattathur,ANDIMADAM,Andimadam,Ariyalur,610,5983,6255,621803,name_match,high
636358,Kattathur (South),,Kolathur,ANDIMADAM,Andimadam,Ariyalur,610,5983,6255,621803,name_match,high
636360,Kodukkur,,Kodukkur,ANDIMADAM,Andimadam,Ariyalur,610,5983,6255,605501,name_match_multi,good
636355,Koovathur (North),,Koovathur,ANDIMADAM,Andimadam,Ariyalur,610,5983,6255,621803,name_match,high
636431,Koovathur RF,,Koovathur,ANDIMADAM,Andimadam,Ariyalur,610,5983,6255,621803,gp_inferred,good
636356,Koovathur (South),,Koovathur,ANDIMADAM,Andimadam,Ariyalur,610,5983,6255,621803,name_match,high
636359,Kuvagam,,Kuvagam,ANDIMADAM,Andimadam,Ariyalur,610,5983,6255,606102,name_match_multi,good
636433,Kuvagam RF,,Kuvagam,ANDIMADAM,Andimadam,Ariyalur,610,5983,6255,606102,gp_inferred,good
636361,Marudur,,Marudur,ANDIMADAM,Andimadam,Ariyalur,610,5983,6255,608704,name_match_multi,good
636364,Melur,,Melur,ANDIMADAM,Andimadam,Ariyalur,610,5983,6255,606111,name_match_multi,good
636432,Melur Devanur RF,,Melur,ANDIMADAM,Andimadam,Ariyalur,610,5983,6255,606111,gp_inferred,good
636428,Mudukulam R.F,,Edayakurichy,ANDIMADAM,Andimadam,Ariyalur,610,5983,6255,621803,block_inferred,medium
636333,Olaiyur,,Olaiyur,ANDIMADAM,Andimadam,Ariyalur,610,5983,6255,603107,name_match_multi,good
636346,Periakrishnapuram,,Periyakrishnapuram,ANDIMADAM,Andimadam,Ariyalur,610,5983,6255,621805,name_match_multi,good
636336,Rangiyam,,Rangiyam,ANDIMADAM,Andimadam,Ariyalur,610,5983,6255,621803,block_inferred,medium
636339,Silumbur (North),,Silambur,ANDIMADAM,Andimadam,Ariyalur,610,5983,6255,621803,block_inferred,medium
636340,Silumbur (South),,Silambur,ANDIMADAM,Andimadam,Ariyalur,610,5983,6255,621803,block_inferred,medium
636337,Siluvaicheri,,Alagapuram,ANDIMADAM,Andimadam,Ariyalur,610,5983,6255,621803,block_inferred,medium
636427,Siluvaicheri RF,,Rangiyam,ANDIMADAM,Andimadam,Ariyalur,610,5983,6255,621803,block_inferred,medium
636335,Sriraman,,Sriraman,ANDIMADAM,Andimadam,Ariyalur,610,5983,6255,608703,name_match,high
636347,Thirukalappur,,Kovilvalkkai,ANDIMADAM,Andimadam,Ariyalur,610,5983,6255,621803,block_inferred,medium
931845,Varadarajanpettai,வரதராஜன்பேட்டை,,,Andimadam,Ariyalur,610,5983,,621804,gp_inferred,good
636362,Variyankaval,,Variyankaval,ANDIMADAM,Andimadam,Ariyalur,610,5983,6255,621806,name_match,high
636344,Vilandai (North),,Andimadam,ANDIMADAM,Andimadam,Ariyalur,610,5983,6255,605756,name_match,high
636345,Vilandai (South),,Vilandai,ANDIMADAM,Andimadam,Ariyalur,610,5983,6255,605756,name_match,high
636517,Alagiyamanavalam,,Alagiyamanavalam,THIRUMANUR,Ariyalur,Ariyalur,610,5787,6261,621715,block_inferred,medium
636486,Alanduraiyarkattalai,,Alanduraiyarkattalai,ARIYALUR,Ariyalur,Ariyalur,610,5787,6256,621704,block_inferred,medium
636464,Ammenabath,,Erthukaranpatti,ARIYALUR,Ariyalur,Ariyalur,610,5787,6256,621704,gp_inferred,good
636487,Andipattakkadu,,Andipattakadu,ARIYALUR,Ariyalur,Ariyalur,610,5787,6256,621704,block_inferred,medium
636510,Annimangalam,,Annimangalam,THIRUMANUR,Ariyalur,Ariyalur,610,5787,6261,621715,block_inferred,medium
636466,Ariyalur (North),,Erthukaranpatti,ARIYALUR,Ariyalur,Ariyalur,610,5787,6256,621704,taluk_match,high
931841,Ariyalur (South),அரியலூர் (தெற்கு),,,Ariyalur,Ariyalur,610,5787,,621704,taluk_match,high
636484,Arungal,,Arungal,ARIYALUR,Ariyalur,Ariyalur,610,5787,6256,621707,taluk_match,high
636482,Avansuthamalli,,Ayansuthamalli,THIRUMANUR,Ariyalur,Ariyalur,610,5787,6261,621715,block_inferred,medium
636459,Ayanathur,,Kadugur,ARIYALUR,Ariyalur,Ariyalur,610,5787,6256,621705,taluk_match,high
636494,Chinnapattakadu,,Chinnapattakadu,THIRUMANUR,Ariyalur,Ariyalur,610,5787,6261,621715,block_inferred,medium
636475,Edayathankudi,,Edaiyathangudi,ARIYALUR,Ariyalur,Ariyalur,610,5787,6256,621704,block_inferred,medium
636516,Elakurichi,,Elakkurichi,THIRUMANUR,Ariyalur,Ariyalur,610,5787,6261,621715,name_match,high
636505,Elandakudam,,Elandaikudam,THIRUMANUR,Ariyalur,Ariyalur,610,5787,6261,621715,block_inferred,medium
636456,Govindapuram,,Govindapuram,ARIYALUR,Ariyalur,Ariyalur,610,5787,6256,621713,taluk_match,high
636491,Guruvadi,,Kuruvadi,THIRUMANUR,Ariyalur,Ariyalur,610,5787,6261,621715,block_inferred,medium
636454,Illuppaiyur,,Eluppaiyur,ARIYALUR,Ariyalur,Ariyalur,610,5787,6256,621704,block_inferred,medium
636458,Kadugur,,Kadugur,ARIYALUR,Ariyalur,Ariyalur,610,5787,6256,621705,taluk_match,high
636457,Kallankurichi,,Kallankurichi,ARIYALUR,Ariyalur,Ariyalur,610,5787,6256,621705,taluk_match,high
636492,Kamarasavalli,,Kamarasavalli,THIRUMANUR,Ariyalur,Ariyalur,610,5787,6261,621715,name_match,high
636509,Kandiratheertham,,Kandarathitham,THIRUMANUR,Ariyalur,Ariyalur,610,5787,6261,621715,block_inferred,medium
636498,Karaiyavetti,,Karaivetti,THIRUMANUR,Ariyalur,Ariyalur,610,5787,6261,621715,block_inferred,medium
636485,Karuppilakattalai,,Karupilakkattalai,ARIYALUR,Ariyalur,Ariyalur,610,5787,6256,621707,taluk_match,high
636476,Karuppur (Senapathy),,Melakaruppur,ARIYALUR,Ariyalur,Ariyalur,610,5787,6256,608401,name_match_multi,good
636460,Kavanur,,Kavanur,ARIYALUR,Ariyalur,Ariyalur,610,5787,6256,621704,taluk_match,high
636465,Kayarlabath,,Kayarlabath,ARIYALUR,Ariyalur,Ariyalur,610,5787,6256,621704,block_inferred,medium
